Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1.42022E+11
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3785.936279
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,16168055475
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,509.9078295
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,66345291149
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1242.721344
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,12402486184
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4412.835569
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,175390280.7
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,14979.0999
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,36924841394
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1252.750767
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1.05447E+12
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,60141.98809
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,10071349664
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,35311.55436
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,2.53978E+11
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,49950.42517
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,14209020362
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,2138.385885
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,14915002436
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,608.7224396
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,6.09148E+11
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2787.487792
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,14000283827
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,7620.80297
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,914000000
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,19455.50139
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,5.03368E+11
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,93072.89251
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,87323797139
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,19403.46002
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,3.48517E+11
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1455.319224
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,231343460.1
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,13009.24816
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,67396392506
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,15509.80691
